id_experimento,grupo,metrica,valor,timestamp,arquivo_origem
exp_005,GC,taxa_conversao,100.0,2025-07-20T22:08:09.168006,experimento_teste.csv
exp_005,GC,uso_medio,2.5,2025-07-20T22:08:09.168006,experimento_teste.csv
exp_005,GC,valor_medio,87.16,2025-07-20T22:08:09.168006,experimento_teste.csv
exp_005,GC,usuarios_unicos,2.0,2025-07-20T22:08:09.168006,experimento_teste.csv
exp_005,G1,taxa_conversao,100.0,2025-07-20T22:08:09.168879,experimento_teste.csv
exp_005,G1,uso_medio,2.0,2025-07-20T22:08:09.168879,experimento_teste.csv
exp_005,G1,valor_medio,28.92,2025-07-20T22:08:09.168879,experimento_teste.csv
exp_005,G1,usuarios_unicos,1.0,2025-07-20T22:08:09.168879,experimento_teste.csv
exp_005,G2,taxa_conversao,100.0,2025-07-20T22:08:09.169876,experimento_teste.csv
exp_005,G2,uso_medio,1.0,2025-07-20T22:08:09.169876,experimento_teste.csv
exp_005,G2,valor_medio,158.02,2025-07-20T22:08:09.169876,experimento_teste.csv
exp_005,G2,usuarios_unicos,1.0,2025-07-20T22:08:09.169876,experimento_teste.csv
exp_005,G1,lift_taxa_conversao,0.0,2025-07-20T22:08:09.170865,experimento_teste.csv
exp_005,G2,lift_taxa_conversao,0.0,2025-07-20T22:08:09.170865,experimento_teste.csv
exp_005,G1,lift_uso_medio,-20.0,2025-07-20T22:08:09.170865,experimento_teste.csv
exp_005,G2,lift_uso_medio,-60.0,2025-07-20T22:08:09.170865,experimento_teste.csv
exp_005,G1,lift_valor_medio,-66.82,2025-07-20T22:08:09.170865,experimento_teste.csv
exp_005,G2,lift_valor_medio,81.3,2025-07-20T22:08:09.170865,experimento_teste.csv
exp_005,G1,lift_usuarios_unicos,-50.0,2025-07-20T22:08:09.170865,experimento_teste.csv
exp_005,G2,lift_usuarios_unicos,-50.0,2025-07-20T22:08:09.170865,experimento_teste.csv
exp_001,G1,taxa_conversao,100.0,2025-07-20T22:08:09.176762,experimento_teste.csv
exp_001,G1,uso_medio,7.0,2025-07-20T22:08:09.176762,experimento_teste.csv
exp_001,G1,valor_medio,16.39,2025-07-20T22:08:09.176762,experimento_teste.csv
exp_001,G1,usuarios_unicos,1.0,2025-07-20T22:08:09.176762,experimento_teste.csv
exp_001,GC,taxa_conversao,66.67,2025-07-20T22:08:09.177473,experimento_teste.csv
exp_001,GC,uso_medio,2.33,2025-07-20T22:08:09.177473,experimento_teste.csv
